Subset,Recording,Sensor,NumberOfTimeGaps,MeanGap_ms,MedianGap_ms,StdGap_ms,MinGap_ms,MaxGap_ms,MeanOverMedianRatio
quasi_static,static_bend_y_n150,Mark-10 (dataMark10_+x.csv),10807,2.69451392417238,2.60305404663086,0.322223341491999,2.32505798339844,5.31101226806641,1.03513560452573
quasi_static,static_bend_y_n150,Mark-10 (dataMark10_+y.csv),10214,2.84794272334463,2.74109840393066,0.325347606330122,2.39300727844238,5.45597076416016,1.03897865149998
quasi_static,static_bend_y_n150,Mark-10 (dataMark10_-x.csv),10820,2.69669243676825,2.59613990783691,0.309571551859128,2.34508514404297,5.08308410644531,1.0387315524205
quasi_static,static_bend_y_n150,Mark-10 (dataMark10_-y.csv),9461,3.08752765540605,3.01504135131836,0.307623006519628,2.67195701599121,5.71799278259277,1.02404156216829
quasi_static,static_bend_y_n180,ATI force/torque,5996,5.0025108339311,0.222921371459961,7.04271181365788,0.0569820404052734,16.1511898040771,22.4406964714444
quasi_static,static_bend_y_n180,FBG shape sensor,2998,10.0069692565887,8.7730884552002,8.83579668637522,0.0209808349609375,54.893970489502,1.14064383457312
quasi_static,static_bend_y_n180,OptiTrack motion capture,3772,8.333595977229,8.31782817840576,0.513224718944922,6.63876533508301,9.8273754119873,1.00189566296454
quasi_static,static_bend_y_n180,Motor encoders,5162,4.99271288808581,2.01606750488281,18.8906088403064,1.77001953125,141.639947891235,2.47646116808773
quasi_static,static_bend_y_n180,Mark-10 (dataMark10_+x.csv),11181,2.61347588758415,2.55203247070312,0.344535904867057,2.29096412658691,18.2449817657471,1.02407626767542
quasi_static,static_bend_y_n180,Mark-10 (dataMark10_+y.csv),10699,2.72757203258725,2.63500213623047,0.350224464932795,2.27499008178711,17.672061920166,1.03513086197691
quasi_static,static_bend_y_n180,Mark-10 (dataMark10_-x.csv),11290,2.59255900437902,2.50411033630371,0.32541996230849,2.31695175170898,17.5380706787109,1.03532139410672
quasi_static,static_bend_y_n180,Mark-10 (dataMark10_-y.csv),9713,3.01732759722153,2.92110443115234,0.366759624692921,2.56991386413574,19.1547870635986,1.03294067991648
quasi_static,static_bend_y_n200,ATI force/torque,5997,5.00122694168485,0.20909309387207,7.0567821457156,0.0579357147216797,16.1459445953369,23.9186615352526
quasi_static,static_bend_y_n200,FBG shape sensor,2999,10.0032183757501,8.01301002502441,9.10538012528263,0.00786781311035156,44.8000431060791,1.24837212789081
quasi_static,static_bend_y_n200,OptiTrack motion capture,3772,8.3336613337536,8.32986831665039,0.543790492759638,4.79364395141602,12.0537281036377,1.0004553513884
quasi_static,static_bend_y_n200,Motor encoders,5799,4.44187429736947,1.99413299560547,17.1512991781249,1.74808502197266,140.127897262573,2.22747144105141
quasi_static,static_bend_y_n200,Mark-10 (dataMark10_+x.csv),11091,2.63515003270727,2.57682800292969,0.311047397701997,2.30193138122559,5.19800186157227,1.02263326450631
quasi_static,static_bend_y_n200,Mark-10 (dataMark10_+y.csv),10733,2.72005115030286,2.62999534606934,0.318220434403172,2.26092338562012,5.25188446044922,1.03424181125191
quasi_static,static_bend_y_n200,Mark-10 (dataMark10_-x.csv),11310,2.58918434618639,2.5019645690918,0.29237077368485,2.32696533203125,4.90403175354004,1.03486051648056
quasi_static,static_bend_y_n200,Mark-10 (dataMark10_-y.csv),9724,3.01478856485697,2.91895866394043,0.323337488456005,2.57301330566406,5.6769847869873,1.03283016717584
dynamic_motion,Lissajous_fast,ATI force/torque,17996,5.00022454854249,0.169992446899414,7.09894795268788,0.0579357147216797,16.4730548858643,29.4143924612201
dynamic_motion,Lissajous_fast,FBG shape sensor,8995,10.0069518616757,9.03892517089844,8.83805762866556,0.0128746032714844,52.0999431610107,1.10709533185361
dynamic_motion,Lissajous_fast,OptiTrack motion capture,10977,8.33345237103622,8.32986831665039,0.518125141736368,6.50429725646973,10.6196403503418,1.00043026543153
dynamic_motion,Lissajous_fast,Motor encoders,35365,2.42241263878357,1.99103355407715,7.31335535845416,1.708984375,141.154050827026,1.21666088139151
dynamic_motion,Lissajous_fast,Mark-10 (dataMark10_+x.csv),30811,2.89956388398915,2.81405448913574,0.387237597378699,2.22396850585938,18.7070369720459,1.03038654552836
dynamic_motion,Lissajous_fast,Mark-10 (dataMark10_+y.csv),30506,2.92780262864489,2.83193588256836,0.377995414498881,2.25305557250977,18.3548927307129,1.03385201856674
dynamic_motion,Lissajous_fast,Mark-10 (dataMark10_-x.csv),29585,3.02162001176079,2.90584564208984,0.375510822206343,2.36392021179199,18.8610553741455,1.03984188560948
